country,totalrate,femalerate
126,6.3,0.6
28,2.7,1.0
37,1.4,0.4
199,1.2,2.4
82,4.8,2.1
197,10.3,10.4
117,5.9,1.7
71,3.0,1.0
78,0.9,0.7
164,0.7,0.7
123,2.1,1.8
103,28.4,5.3
85,0.5,0.3
2,2.5,1.0
114,10.9,2.0
70,3.6,2.3
90,1.9,1.4
158,37.6,8.1
58,6.2,2.4
95,1.1,1.1
166,6.3,4.3
54,1.3,0.8
160,15.0,2.5
163,29.5,4.4
22,0.5,1.2
174,1.1,0.6
100,0.4,0.2
93,6.0,2.3
39,11.5,2.6
14,1.8,0.6
6,4.2,1.5
113,1.7,0.8
138,19.8,10.4
128,9.0,3.6
131,3.5,0.5
68,0.6,1
94,0.8,4.2
27,25.5,3.7
67,7.7,4.5
193,11.9,0.9
176,1.0,4.1
33,5.0,0.9
110,1.1,5.1
8,0.6,0.8
156,4.4,2.3
87,13.5,0
142,1.0,3.2
43,6.5,2.2
79,8.4,0.6
13,15.2,15.7
152,5.9,0.9
125,2.5,3.4
101,82.8,1.4
196,2.3,3.9
112,8.0,2.8
132,3.2,0.9
167,7.6,1.0
106,2.3,4.8
24,1.4,3.2
77,8.0,1.0
84,9.1,0.5
89,1.0,0
111,1.2,5.6
45,1.7,2.3
124,0.8,7.8
29,10.2,8.6
165,27.3,0
61,8.8,10.2
154,9.5,1.6
189,18.4,0.6
194,10.0,2.7
159,56.5,0.3
155,2.1,0.6
50,0.3,3.2
127,3.2,3.6
1,0.5,0.9
129,2.5,0.3
147,9.9,9.3
15,0.8,0.3
42,1.4,2.7
102,0.7,2.6
143,47.0,2.9
139,0.3,0.4
12,1.5,0.7
137,4.8,4.9
46,4.9,3.2
4,7.5,2.7
140,1.6,1.2
52,1.8,8.9
36,4.5,1.4
20,8.0,1.0
34,3.4,0
192,4.0,2.9
75,41.2,0.7
55,3.2,3.3
83,2.5,0.8
121,2.7,0.7
173,5.2,0.3
7,0.7,5.1
51,7.7,0.9
91,1.7,1.4
47,2.1,5.2
40,0.8,1.6
180,10.9,4.4
26,0.9,2.4
148,9.9,2.6
80,1.8,0.9
186,19.3,0.6
5,4.7,1.1
92,2.9,0.8
145,5.7,3.5
10,4.5,0.9
181,1.2,0.6
149,3.4,2.1
184,2.3,2.0
119,17.1,5.0
190,2.2,0.4
38,0.6,2.3
153,1.0,3.6
187,7.4,1.7
168,4.4,3.3
63,9.8,2.3
74,0.5,0.9
105,0.7,3.0
161,4.4,0.3
109,3.1,0.8
169,9.7,2.3
18,7.8,1.4
76,9.3,1.0
136,7.7,7.0
56,11.0,1.1
191,0.7,0
25,0.6,5.6
73,0.4,7.4
98,0.7,1.4
183,3.2,0
162,1.2,1.1
157,10.8,2.7
64,2.5,0.9
130,34.2,0.8
69,19.3,0.2
115,36.5,0.2
195,3.1,1.8
19,3.6,2.2
32,3.4,9.0
31,1.5,6.2
48,7.4,0.5
118,1.4,1.2
150,12.7,0.2
53,1.7,2.4
17,0.3,3.9
41,1.0,4.5
122,0.5,0.6
96,3.8,0.6
200,4.3,1.0
135,34.0,0.4
170,13.9,1.2
185,0.6,1.0
21,2.5,1.6
179,5.2,1.9
134,8.3,4.2
182,17.3,1.0
9,1.1,1.6
151,0.5,1.7
44,2.2,0
66,1.6,4.3
97,3.2,2.4
16,1.6,0.4
178,3.9,0.9
99,9.0,0.2
188,1.0,0.6
144,30.9,0.9
177,3.0,2.5
62,4.3,2.3
175,4.2,3.6
57,18.6,1.2
11,11.5,1.1
30,6.3,6.3
88,0.9,0.4
107,1.2,3.0
120,7.0,
146,5.4,
59,5.4,
104,7.7,
23,3.0,
86,2.1,
3,56.3,
133,1.5,
171,6.7,
49,5.3,
65,6.7,
172,,
116,,
198,,
141,,
35,,
60,,
108,,
72,,
81,,
