Country,Mbps
Afghanistan,1.15
Albania,5.56
Algeria,1.25
Andorra,27.14
Angola,1.49
Antigua and Barbuda,3.85
Argentina,3.18
Armenia,3.94
Aruba,13.27
Australia,11.69
Austria,17.51
Azerbaijan,2.52
Bahamas,9.95
Bahrain,5.05
Bangladesh,1.97
Barbados,17.08
Belarus,9.21
Belgium,36.71
Belize,3.93
Benin,1.23
Bermuda,9.13
Bolivia,1.90
Bosnia and Herzegovina,7.37
Botswana,1.50
Brazil,2.58
British Virgin Islands,4.46
Brunei,4.15
Bulgaria,20.20
Burkina Faso,0.84
Burundi,2.56
Cabo Verde,3.24
Cambodia,4.10
Cameroon,1.29
Canada,19.48
Cayman Islands,11.49
Chile,4.74
China,2.38
Colombia,3.25
DRC,0.86
Costa Rica,3.96
Croatia,15.60
Cuba,5.83
Curaçao,5.99
Cyprus,11.10
Czech Republic,23.71
Denmark,43.99
Djibouti,0.92
Dominica,5.38
Dominican Republic,4.41
East Timor,0.49
Ecuador,2.76
Egypt,1.33
El Salvador,2.78
Estonia,27.91
Ethiopia,1.13
Faroe Islands,10.38
Fiji,2.65
Finland,24.00
France,24.23
French Guiana,2.37
French Polynesia,1.42
Gabon,1.13
Gambia,1.45
Georgia,6.25
Germany,24.00
Ghana,2.88
Gibraltar,14.71
Greece,11.30
Grenada,2.46
Guadeloupe,4.21
Guam,2.77
Guatemala,3.13
Guernsey,11.58
Guinea Bissau,0.65
Guyana,2.64
Haiti,2.42
Hashemite Kingdom of Jordan,4.11
Honduras,2.80
Hong Kong,26.45
Hungary,34.01
Iceland,18.85
India,5.19
Indonesia,5.77
Iran,2.20
Iraq,1.21
Ireland,18.22
Isle of Man,10.54
Israel,7.64
Italy,15.10
Ivory Coast,1.70
Jamaica,8.25
Japan,28.94
Jersey,30.90
Kazakhstan,4.45
Kenya,10.11
Kosovo,11.64
Kuwait,2.76
Kyrgyzstan,1.52
Laos,4.29
Latvia,28.63
Lebanon,1.60
Liberia,1.61
Libya,1.42
Liechtenstein,17.71
Luxembourg,35.14
Macao,16.12
Macedonia,8.82
Madagascar,24.87
Malawi,1.17
Malaysia,13.30
Maldives,1.98
Mali,0.95
Malta,13.60
Martinique,5.74
Mauritania,0.70
Mauritius,2.39
Mayotte,0.97
Mexico,5.69
Monaco,11.02
Mongolia,1.57
Montenegro,6.74
Morocco,4.03
Mozambique,1.76
Myanmar,4.15
Namibia,2.62
Nepal,2.36
Netherlands,35.95
New Caledonia,3.16
New Zealand,23.77
Nicaragua,2.64
Niger,0.83
Nigeria,1.86
Norway,40.12
Oman,3.83
Pakistan,1.32
Palestine,1.75
Panama,7.05
Papua New Guinea,1.92
Paraguay,1.73
Peru,3.31
Philippines,5.18
Poland,19.73
Portugal,21.28
Puerto Rico,6.88
Qatar,3.80
South Kora,20.63
Lithuania,27.17
Moldova,13.88
Congo Republic,0.85
Romania,38.60
Russia,13.51
Rwanda,2.64
Réunion,2.38
Saint Lucia,3.00
Saint Vincent and the Grenadines,2.60
Saudi Arabia,4.09
Senegal,1.40
Serbia,13.00
Seychelles,1.72
Sierra Leone,1.61
Singapore,60.39
Sint Maarten,4.68
Slovakia,25.30
Slovenia,21.41
Somalia,0.60
South Africa,6.38
Spain,27.19
Sri Lanka,5.84
St Kitts and Nevis,6.12
Sudan,1.56
Suriname,2.47
Swaziland,1.26
Sweden,46.00
Switzerland,29.92
Syria,0.81
São Tomé and Príncipe,1.13
Taiwan,28.09
Tajikistan,0.94
United Republic of Tanzania,1.96
Thailand,17.06
Togo,1.27
Trinidad and Tobago,11.37
Tunisia,3.67
Turkey,4.90
Turkmenistan,0.56
Turks and Caicos Islands,11.70
U.S. Virgin Islands,10.55
Uganda,2.39
Ukraine,11.28
United Arab Emirates,4.35
United Kingdom,18.57
United States,25.86
Uruguay,6.19
Uzbekistan,1.02
Vanuatu,0.95
Venezuela,1.24
Vietnam,6.72
Yemen,0.31
Zambia,2.03
Zimbabwe,2.86
