cityid,palms
1,f
2,f
3,f
4,f
5,f
6,f
7,f
8,f
9,f
10,f
11,f
12,f
13,f
14,f
15,f
16,f
17,f
18,f
19,f
20,f
21,f
22,f
23,f
24,f
25,f
26,t
27,t
28,t
29,t
30,t
31,t
32,t
33,t
34,t
35,f
36,f
37,f
38,f
39,f
40,f
41,f
42,f
43,t
44,t
45,t
46,t
47,t
48,f
49,f
50,f
51,f
52,f
53,f
54,f
55,f
56,f
57,f
58,f
59,f
60,f
61,f
62,f
63,f
64,f
65,f
66,f
67,f
68,f
69,f
70,f
71,f
72,f
73,f
74,f
75,f
76,f
77,f
78,f
79,f
80,f
81,f
82,f
83,f
84,f
85,f
86,f
87,f
88,f
89,f
90,f
91,f
92,f
93,f
94,f
95,f
96,f
97,f
98,f
99,f
100,f
101,f
102,f
103,f
104,f
105,f
106,f
107,f
108,f
109,f
110,f
111,f
112,f
113,f
114,f
115,f
116,f
117,f
118,f
119,f
120,f
121,f
122,f
123,f
124,f
125,f
126,f
127,f
128,f
129,f
130,f
131,f
132,f
133,f
134,f
135,f
136,f
137,t
138,t
139,t
140,t
141,t
142,f
143,f
144,f
145,f
146,f
147,f
148,f
149,f
150,f
151,t
152,t
153,t
154,t
155,f
156,t
157,t
158,f
159,f
160,f
161,t
162,f
163,f
164,f
165,f
166,f
167,f
168,f
169,f
170,f
171,f
172,f
173,f
174,f
175,f
176,f
177,f
178,f
179,f
180,f
181,t
182,f
183,f
184,f
185,f
186,f
187,f
188,f
189,f
190,f
191,f
192,f
193,f
194,f
195,f
196,f
197,f
198,f
199,f
200,f
201,f
202,f
203,f
204,f
205,t
206,f
207,t
208,t
209,t
210,t
211,f
212,f
213,f
214,f
215,f
216,f
217,t
218,t
219,t
220,f
221,t
222,f
223,f
224,f
225,f
226,f
227,f
228,f
229,f
230,f
231,t
232,t
233,t
234,f
235,f
236,f
237,f
238,f
239,f
240,f
241,f
242,t
243,t
244,t
245,f
246,t
247,t
248,f
249,t
250,t
251,f
252,t
253,f
254,f
255,f
256,f
257,f
258,f
259,f
260,f
261,t
262,f
263,t
264,f
265,f
266,f
267,f
268,f
269,f
270,f
271,t
272,t
273,t
274,t
275,t
276,t
277,t
278,t
279,f
280,t
281,t
282,t
283,t
284,t
285,t
286,t
287,t
288,t
289,t
290,t
291,t
292,t
293,f
294,t
295,f
296,f
297,f
298,f
299,f
300,t
301,t
302,f
303,f
304,f
305,f
306,f
307,f
308,f
309,f
310,f
311,f
312,f
313,f
314,f
315,t
316,f
317,f
318,f
319,f
320,f
321,f
322,t
323,f
324,f
325,f
326,t
327,t
328,t
329,t
330,t
331,f
332,t
333,t
334,t
335,t
336,t
337,t
338,t
339,t
340,t
341,t
342,t
343,t
344,f
345,t
346,t
347,f
348,f
349,f
350,f
351,f
352,f
353,f
354,f
355,f
356,f
357,f
358,f
359,f
360,f
361,f
362,f
363,f
364,f
365,f
366,f
367,f
368,f
369,f
370,f
371,f
372,f
373,f
374,f
375,f
376,f
377,f
378,f
379,t
380,f
381,f
382,f
383,t
384,f
385,f
386,f
387,f
388,f
389,f
390,f
391,f
392,t
393,f
394,t
395,f
396,f
397,f
398,f
399,f
400,f
401,f
402,f
403,f
404,f
405,f
406,f
407,f
408,f
409,f
410,f
411,f
412,f
413,f
414,f
415,f
416,f
417,f
418,f
419,f
420,f
421,f
422,f
423,f
424,f
425,f
426,f
427,f
428,f
429,f
430,f
431,f
432,f
433,f
434,f
435,f
436,f
437,f
438,f
439,f
440,f
441,f
442,f
443,f
444,f
445,f
446,f
447,f
448,f
449,f
450,f
451,f
452,t
453,f
454,f
455,f
456,f
457,f
458,f
459,f
460,f
461,f
462,f
463,f
464,f
465,f
466,f
467,f
468,f
469,f
470,f
471,f
472,f
473,f
474,f
475,f
476,f
477,f
478,f
479,f
480,f
481,f
482,f
483,f
484,f
485,f
486,f
487,f
488,f
489,f
490,f
491,f
492,f
493,f
494,f
495,f
496,f
497,f
498,f
499,f
500,f
501,f
502,t
503,f
504,f
505,f
506,f
507,f
508,f
509,f
510,t
511,t
512,t
513,f
514,f
515,f
516,t
517,f
518,t
519,f
520,f
521,f
522,t
523,f
524,f
525,t
526,t
527,f
528,f
529,f
530,t
531,f
532,t
533,f
534,f
535,t
536,f
537,f
538,f
539,f
540,f
541,t
542,f
543,f
544,f
545,f
546,f
547,f
548,f
549,f
550,f
551,f
552,f
553,f
554,f
555,f
556,f
557,f
558,f
559,f
560,f
561,t
562,f
563,f
564,t
565,f
566,t
567,t
568,t
569,t
570,t
571,t
572,t
573,t
574,f
575,f
576,f
577,f
578,f
579,f
580,f
581,f
582,f
583,f
584,f
585,f
586,f
587,f
588,f
589,f
590,f
591,f
592,f
593,f
594,f
595,f
596,f
597,f
598,f
599,f
600,f
601,f
602,f
603,f
604,f
605,f
606,f
607,f
608,f
609,f
610,f
611,f
612,f
613,f
614,f
615,f
616,f
617,f
618,f
619,f
620,f
621,f
622,f
623,f
624,f
625,f
626,f
627,f
628,f
629,f
630,f
631,f
632,f
633,f
634,f
635,f
636,f
637,f
638,f
639,f
640,f
641,f
642,f
643,f
644,f
645,f
646,f
647,f
648,f
649,f
650,f
651,f
652,f
653,f
654,f
655,f
656,f
657,f
658,f
659,f
660,f
661,f
662,f
663,t
664,t
665,f
666,f
667,f
668,f
669,f
670,f
671,f
672,f
673,f
674,f
675,f
676,f
677,f
678,f
679,f
680,f
681,t
682,t
683,f
684,f
685,f
686,f
687,f
688,f
689,f
690,f
691,f
692,f
693,f
694,f
695,f
696,t
697,t
698,t
699,t
700,t
701,t
702,t
703,f
704,f
705,f
706,f
707,f
708,f
709,f
710,f
711,f
712,f
713,f
714,f
715,f
716,f
717,f
718,f
719,f
720,f
721,f
722,f
723,f
724,f
725,f
726,f
727,f
728,f
729,f
730,f
731,f
732,f
733,f
734,f
735,f
736,f
737,f
738,f
739,f
740,f
741,f
742,f
743,f
744,f
745,f
746,f
747,f
748,f
749,f
750,f
751,f
752,f
753,f
754,f
755,f
756,f
757,f
758,f
759,f
760,f
761,f
762,f
763,f
764,f
765,f
766,f
767,f
768,f
769,f
770,f
771,f
772,f
773,f
774,f
775,t
776,f
777,t
778,f
779,t
780,t
781,t
782,f
783,t
784,t
785,f
786,f
787,f
788,f
789,f
790,f
791,f
792,f
793,f
794,f
795,f
796,f
797,f
798,f
799,f
800,f
801,f
802,f
803,f
804,f
805,f
806,f
807,f
808,f
809,f
810,f
811,f
812,f
813,f
814,f
815,f
816,f
817,f
818,f
819,f
820,f
821,f
822,f
823,f
824,f
825,f
826,f
827,f
828,f
829,f
830,f
831,f
832,f
833,f
834,f
835,f
836,f
837,f
838,f
839,f
840,f
841,f
842,f
843,f
844,f
845,f
846,f
847,f
848,f
849,f
850,f
851,f
852,f
853,f
854,f
855,f
856,t
857,t
858,t
859,f
860,f
861,f
862,f
863,f
864,f
865,f
866,f
867,f
868,f
869,f
870,f
871,f
872,f
873,t
874,f
875,t
876,f
877,f
878,f
879,f
880,f
881,f
882,f
883,f
884,f
885,f
886,f
887,f
888,f
889,f
890,f
891,f
892,f
893,f
894,f
895,f
896,f
897,f
898,f
899,f
900,f
901,f
902,f
903,f
904,f
905,f
906,f
907,f
908,f
909,f
910,f
911,f
912,f
913,f
914,f
915,f
916,f
917,f
918,f
919,f
920,f
921,f
922,f
923,t
924,f
925,f
926,f
927,f
928,f
929,f
930,f
931,f
932,f
933,t
934,f
935,t
936,f
937,f
938,f
939,t
940,f
941,f
942,f
943,f
944,f
945,f
946,t
947,f
948,f
949,f
950,t
951,t
952,f
953,f
954,f
955,f
956,f
957,f
958,f
959,f
960,f
961,f
962,f
963,f
964,f
965,f
966,f
967,f
968,f
969,f
970,f
971,f
972,f
973,f
974,t
975,f
976,f
977,f
978,f
979,f
980,f
981,f
982,f
983,f
984,f
985,f
986,f
987,f
988,f
989,f
990,f
991,t
992,t
993,f
994,f
995,f
996,f
997,f
998,f
999,f
1000,f
1001,f
1002,f
1003,f
1004,f
1005,f
1006,f
1007,f
1008,f
1009,f
1010,f
1011,t
1012,t
1013,t
1014,f
1015,f
1016,f
1017,t
1018,t
1019,f
1020,f
1021,f
1022,f
1023,f
1024,f
1025,f
1026,f
1027,f
1028,f
1029,f
1030,f
1031,f
1032,f
1033,f
1034,f
1035,f
1036,f
1037,f
1038,f
1039,f
1040,f
1041,f
1042,f
1043,f
1044,f
1045,f
1046,f
1047,f
1048,f
1049,f
1050,f
1051,f
1052,f
1053,f
1054,f
1055,f
1056,f
1057,f
1058,f
1059,f
1060,f
1061,f
1062,f
1063,f
1064,f
1065,f
1066,f
1067,f
1068,f
1069,f
1070,f
1071,f
1072,f
1073,f
1074,f
1075,f
1076,f
1077,f
1078,f
1079,f
1080,f
1081,f
1082,f
1083,f
1084,f
1085,f
1086,f
1087,f
1088,f
1089,f
1090,f
1091,f
1092,f
1093,f
1094,f
1095,f
1096,t
1097,f
1098,f
1099,f
1100,f
1101,f
1102,f
1103,f
1104,f
1105,f
1106,f
1107,f
1108,f
1109,f
1110,f
1111,f
1112,f
1113,f
1114,t
1115,t
1116,f
1117,f
1118,f
1119,f
1120,f
1121,f
1122,t
1123,t
1124,t
1125,f
1126,f
1127,f
1128,f
1129,f
1130,f
1131,f
1132,f
1133,f
1134,f
1135,t
1136,f
1137,f
1138,f
1139,t
1140,t
1141,f
1142,f
1143,f
1144,t
1145,f
1146,f
