cityid,total
1,21714
2,21093
3,23279
4,19698
5,32234
6,61845
7,21054
8,61705
9,19875
10,62577
11,97687
12,51408
13,76243
14,42098
15,26960
16,45977
17,56473
18,16911
19,126370
20,7335
21,29227
22,148000
23,19054
24,36430
25,96540
26,58030
27,210000
28,69596
29,244277
30,17662
31,149837
32,59442
33,131360
34,103314
35,41112
36,15774
37,5318
38,17555
39,15119
40,7909
60,80568
41,8780
42,2371
43,30917
44,34657
45,18590
46,11465
47,33563
48,58223
49,40285
3063,10
50,286787
51,70402
52,66158
53,94336
54,75527
55,154803
56,98864
57,34834
58,129702
59,27900
61,52960
62,5200
63,71379
64,91039
65,87881
66,32250
67,114034
68,29062
69,13000
70,3400
71,21704
72,45024
73,12764
74,30745
75,11082
76,34700
77,30354
78,14512
79,6921
80,48000
81,31486
82,42670
83,5200
84,14100
85,47100
86,8400
87,62023
88,61898
89,70541
90,34174
91,39640
92,65206
93,56647
94,16400
95,12900
96,15000
97,48024
98,46240
99,97179
100,78988
101,49346
102,88435
103,69067
157,21590
104,52693
105,122225
106,11315
107,31270
108,15501
109,7475
110,28045
111,15438
112,70572
113,16572
114,5681
115,33863
116,14177
117,21979
118,8678
119,23435
120,36477
121,27582
122,17016
123,35212
124,66085
231,26450
125,81318
126,67802
127,63232
128,112490
129,107558
130,60677
131,40005
132,102688
133,213569
134,69225
135,15000
136,9109
137,9676
138,24561
139,31219
140,43522
141,34544
142,14030
143,58787
144,35760
145,50656
146,53399
147,13738
148,15469
149,21309
150,20046
151,117927
152,33521
153,63498
154,35065
155,21643
156,49741
158,55102
159,51584
160,39328
161,96816
162,5750
163,6152
164,110537
165,2748
166,20316
167,33928
168,54162
169,45112
170,15555
171,52423
172,28756
173,55620
174,15581
175,29385
176,34375
177,33479
243,6792
178,32111
179,26364
180,17001
181,24243
182,7500
183,62237
184,141674
185,122378
186,111805
187,46485
307,15608
188,134520
189,30916
190,5571
191,1965
192,113659
193,29479
194,38914
195,23296
196,9073
197,63367
198,19014
199,92294
200,15000
201,15000
202,33061
203,17491
204,3958
205,11204
206,9383
207,5646
208,40266
209,5806
210,18847
211,23254
212,25573
213,1639
214,12652
215,1490
216,447
217,108420
218,45661
219,47832
220,264662
221,495756
222,215038
223,154942
224,19463
225,24235
226,17738
227,11547
228,6898
229,4562
230,16321
232,23651
233,2572
234,32827
235,12832
236,14853
237,9410
238,14891
239,21835
240,5649
241,4860
242,10490
244,1311
245,14430
246,9898
247,2733
248,26594
249,4089
250,33945
251,11415
252,2578
253,69060
254,50762
255,57118
256,25429
257,50350
258,34062
259,6242
260,3958
261,63869
262,15448
263,481654
264,51084
265,5115
266,24992
267,24130
268,47675
269,16330
270,8809
271,34102
272,48411
273,124694
274,39613
275,26807
276,16152
277,37326
278,51910
279,29271
280,6289
281,47115
282,4229
283,7779
284,25261
2585,8602
285,14400
286,13671
287,7906
288,96494
289,11536
290,16380
291,48297
292,41641
293,8462
294,8655
295,37112
296,182900
297,167029
298,285097
299,143970
300,12043
301,22193
302,11805
303,164212
304,1192
305,19308
306,1418
5644,10
308,18305
309,10445
310,1580
311,21774
312,11379
313,16483
314,40000
315,36656
316,25088
317,82370
318,39368
319,45373
320,69734
321,147197
322,16484
323,41521
324,45834
325,36088
326,119897
327,16398
328,61834
329,45299
330,6567
331,35901
332,11072
333,59139
334,73269
335,66709
336,35999
337,15532
380,13990
338,33862
339,11432
340,154040
341,23547
342,123787
343,3584
344,14380
345,2751
346,18672
347,70299
348,24831
349,20309
350,19365
351,22760
352,47246
353,5258
354,45631
355,9000
356,63860
357,60000
381,7461
358,10682
359,47261
360,31133
361,46550
362,6347
363,3225
364,12994
365,5521
366,38992
367,6000
368,4297
369,13882
370,5937
371,51177
372,28313
373,7167
374,5479
375,25531
376,14223
377,20052
378,6349
379,2332
382,30311
383,12358
384,13204
385,221715
386,6062
387,13057
388,27504
389,60962
390,127867
391,39005
392,37654
7336,2928
393,23618
394,90088
395,21286
396,69748
397,41469
398,6495
399,7967
400,17832
401,15147
402,7890
403,35000
404,58259
405,46866
406,14046
407,11556
408,12691
409,11955
410,10686
411,23437
412,14848
413,15405
414,18695
415,10064
416,18779
417,91277
418,69222
419,14737
420,20562
421,21680
422,8657
423,7333
424,12626
425,0
426,11867
427,6876
428,8200
429,2997
430,15000
431,201546
432,49851
433,10000
434,13737
435,48400
436,64256
437,7407
438,17345
439,22305
440,24000
441,35008
442,33231
443,19951
444,74000
445,24380
446,29665
447,19975
448,7944
449,19205
450,23956
451,148000
452,86971
453,33910
454,144000
455,134500
456,125000
457,123590
458,100821
459,42211
460,47445
461,38285
462,26179
463,26928
464,13165
465,15000
488,37535
466,5000
467,17293
468,5000
469,6585
470,10705
471,20893
472,38458
473,12728
474,19443
475,19642
3669,5170
476,21506
477,6083
478,18632
479,10385
480,29048
481,45341
482,6691
483,22223
484,17590
485,30137
486,12703
487,22904
489,26884
490,3837
491,17489
492,23892
493,32052
494,17924
495,15173
496,12732
497,28023
498,9854
499,37806
500,3273
501,26013
502,50000
503,20000
504,160115
505,78739
506,18041
507,48947
508,35961
509,60100
510,165000
511,1156
512,15214
513,24599
514,26701
515,77192
516,76766
517,87739
518,35084
519,37821
520,37315
521,16794
522,7514
523,1783
524,13451
525,2105
526,3216
527,11468
528,2250
529,21696
530,29507
531,51073
532,130113
533,128332
534,7653
535,10
536,93357
537,14538
538,17129
539,255895
540,24881
541,21947
542,83000
543,61029
544,4664
545,19382
546,184997
547,94105
548,95195
549,5760
550,8388
551,370
552,620500
553,158508
554,133097
555,9352
556,96641
557,5277
558,96786
559,129153
560,147443
561,65586
562,19431
563,13451
564,8724
565,39700
566,58257
567,172065
568,201632
569,34665
570,451007
571,162511
572,122916
573,174003
574,32073
594,3976
575,2432
576,4776
577,53066
578,11450
579,3749
580,26669
581,15265
582,2438
583,39603
584,51878
585,84140
586,2622
587,2897
588,24005
589,45732
590,19064
591,18432
592,21203
593,8216
595,5278
596,4214
597,5079
598,7312
599,11645
600,1028
601,82331
602,16994
603,363361
604,9747
605,38397
606,762218
607,55443
608,298257
609,104291
610,548
611,26221
612,297554
613,42397
614,361807
615,133368
616,11272
617,431967
618,106143
619,1993
620,15523
621,6479
622,15521
623,42918
624,55532
625,6352
626,11578
627,13646
628,7309
629,4960
630,6742
631,6054
632,22886
633,81343
634,25288
635,10939
636,26284
637,42537
638,324222
639,88020
640,27495
641,51289
642,20639
643,4259
644,130695
645,18083
646,30156
647,45209
648,8269
649,24935
650,45964
651,24468
652,19894
653,45212
654,2311
655,56019
656,77065
657,270171
658,34985
659,108157
660,58554
661,75658
662,243291
663,86749
664,21122
665,45270
666,32263
667,20261
668,6430
669,1797
670,23987
671,11575
672,5662
673,15024
674,6764
675,55718
676,388768
677,76688
678,545108
679,28288
680,261406
681,142462
682,320956
683,121750
684,131964
685,61236
686,434782
687,174236
688,115083
689,287004
690,188982
691,45202
692,8183
693,61881
694,40807
695,68435
696,170870
697,60673
698,189375
699,248538
700,185548
701,56806
702,91888
703,45030
704,16095
705,33929
706,20160
707,19553
708,68853
709,45078
710,61360
711,17446
712,28887
713,79923
714,40864
715,23366
716,81059
753,159012
717,24193
718,32079
719,362947
720,38166
721,204372
722,212243
723,102056
724,244050
725,41016
726,65150
727,98104
728,34249
729,171791
730,78382
731,100295
732,31630
733,7844
734,20859
763,52792
735,57179
736,33907
737,257115
738,27050
739,32514
740,64039
741,33148
742,74451
743,42356
744,68071
745,50710
746,74866
747,164844
748,53846
749,42132
750,76159
751,256602
752,51148
754,69600
755,71296
756,10797
757,65477
758,136889
759,46750
760,2154
761,22503
762,54663
764,58776
765,58488
766,151205
767,41891
768,100671
769,24234
770,64815
771,62785
772,43792
773,209489
774,300981
775,500464
776,100118
777,303470
778,86274
779,130824
780,119188
811,382
781,166039
782,3639
783,7420
784,4935
785,20529
786,1782
787,6052
788,34638
789,62454
790,51559
791,14524
792,12011
793,6400
794,153070
795,49550
796,106688
797,135014
798,149826
799,439664
810,667
800,85590
801,31534
802,94529
803,115786
804,104107
805,104820
806,406912
807,191259
808,234837
809,35361
824,101
812,99
813,201
814,102
815,113
816,1710
817,230
818,75
819,352
820,755
821,100
822,190
823,83
825,151
826,832
827,1078
828,177
829,10
830,32
831,222
832,119
833,104
834,75
835,591
836,97
837,292
838,38975
839,100187
840,352918
841,293657
842,322093
843,107329
844,101838
845,134355
846,87620
847,77356
848,192419
849,53906
850,97673
851,571644
852,318883
853,337718
854,178903
