Country,percent
1,1.24
2,16.21
3,0
4,0
5,0
6,25.81
7,0
8,0
9,0
10,0.14
11,25.42
12,0.09
13,0.49
14,12.03
15,0
16,0.24
17,0
18,0
19,0
20,22.00
21,0
22,0
23,0.32
24,0
25,0
26,0
27,0.90
28,0.16
29,0
30,0.00
31,0
32,4.40
33,0
34,0
35,0
36,0.04
37,0.28
38,0
39,0
40,0.07
41,0
42,0
43,15.68
44,0
45,9.60
46,13.45
47,0
48,32.05
49,24.35
50,0
51,57.25
52,0
53,48.41
54,0.06
55,33.15
56,4.74
57,0
58,38.05
59,0
60,0
61,38.12
62,0
63,32.67
64,22.95
65,8.76
66,2.32
67,16.21
68,0.35
69,0.00
70,0
71,0.00
72,0
73,0
74,0
75,8.60
76,1.02
77,4.81
78,0
79,0
80,0
81,0
82,32.46
83,0.08
84,32.04
85,0
86,10.16
87,0
88,0
89,0
90,0
91,18.51
92,0
93,45.37
94,0
95,14.68
96,0
97,0.13
98,0
99,24.41
100,64.84
101,1.69
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0.00
115,0
116,0
117,0
118,0
119,12.88
120,0
121,0
122,0
123,0.52
124,0
125,0.58
126,25.13
127,8.59
128,66.16
129,0
130,0
131,0
132,0
133,0.74
134,2.51
135,1.12
136,2.72
137,0.00
138,54.72
139,0
140,0
141,0
142,0
143,0.81
144,0.10
145,1.58
146,0
147,3.00
148,26.44
149,49.24
150,0
151,0
152,0.83
153,0
154,0
155,0
156,0
157,0
158,0.65
159,6.60
160,0
161,24.74
162,0
163,0.939
164,0
165,11.29
166,7.11
167,61.84
168,74.88
169,0
170,74.47
171,23.90
172,0
173,0
174,0
175,0.00
176,0
177,0.19
178,0
179,30.89
180,56.67
181,6.49
182,0
183,0.06
184,13.89
185,0
186,1.02
187,5.51
188,0
189,0.69
190,11.99
191,0
192,0
193,0
194,22.52
195,0
196,0
197,0
198,0
199,0
200,67.47
